#timestamp x y z qx qy qz qw
23.950001 -0.000000 -0.000000 -0.000000 -0.000000 0.000001 0.000000 1.000000
32.050002 -0.323632 0.238229 0.971726 0.000281 -0.258438 0.064767 0.963854
33.050002 -1.166857 0.302224 1.497653 -0.009697 -0.631605 0.164209 0.757639
34.066668 -2.068701 0.126878 1.055841 0.005402 0.924867 -0.241001 -0.294126
35.083335 -2.277030 -0.011828 0.308618 0.000044 0.967101 -0.251761 0.036506
36.083335 -2.142219 -0.116401 -0.216087 -0.002004 0.954326 -0.248088 0.166462
37.083335 -1.873186 -0.389584 -1.143688 -0.003626 0.966807 -0.249876 0.053236
38.116669 -1.895546 -0.548493 -1.741229 -0.004013 0.968063 -0.250399 0.011778
41.150002 -1.799369 -0.605506 -2.028462 -0.005072 0.958610 -0.247643 0.140411
42.166669 -2.040542 -0.829667 -2.939319 -0.001194 0.888974 -0.232095 -0.394786
43.166669 -2.945530 -0.954189 -3.299827 -0.005045 -0.547399 0.146218 0.823983
44.166669 -3.534578 -0.769821 -2.440334 -0.007364 -0.199180 0.056796 0.978288
45.166669 -3.525527 -0.518353 -1.512814 -0.009393 0.246275 -0.056873 0.967484
46.166669 -2.688948 -0.386165 -1.016935 -0.011688 0.627926 -0.154868 0.762619
47.200002 -1.657036 -0.358018 -0.957657 -0.013147 0.693687 -0.171794 0.699366
48.200003 -0.656504 -0.344899 -0.989340 -0.013739 0.693295 -0.170740 0.700001
49.216669 0.366110 -0.321060 -1.020926 -0.013691 0.692895 -0.169551 0.700686
50.233336 1.386511 -0.301956 -1.030897 -0.013935 0.692952 -0.168392 0.700905
51.250003 2.412786 -0.258867 -1.063979 -0.013483 0.692516 -0.168133 0.701406
52.266669 3.434107 -0.239417 -1.089661 -0.013508 0.692227 -0.167251 0.701901
53.300003 4.472474 -0.214313 -1.111750 -0.013620 0.692090 -0.166836 0.702133
54.316669 5.529864 0.002109 -1.261780 -0.008616 0.840226 -0.214323 0.498007
55.316670 6.258396 -0.387348 -1.827668 -0.015805 0.867349 -0.213611 0.449251
56.333336 7.041336 -0.535403 -2.444638 -0.016415 0.866472 -0.212835 0.451284
57.333336 7.861344 -0.655914 -3.025564 -0.016357 0.866416 -0.212995 0.451319
58.333336 8.664696 -0.769629 -3.626282 -0.015769 0.865633 -0.213401 0.452649
59.333336 9.465679 -0.930709 -4.200267 -0.017354 0.865695 -0.211346 0.453435
60.333336 10.122437 -1.065244 -4.920994 -0.017075 0.951849 -0.239395 0.190742
